;cod_municipio;nome_municipio;regiao_administrativa;regiao_metropolitana;habitantes;PIB;nascidos_vivos
629;3556206;Valinhos;Região Administrativa de Campinas;Região Metropolitana de Campinas;125800;R$ 6.864.135.941;384.0
630;3556305;Valparaíso;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;24099;R$ 1.157.112.570;63.0
631;3556354;Vargem;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;10094;R$ 145.029.443;38.0
632;3556404;Vargem Grande do Sul;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;41684;R$ 1.133.433.287;180.0
633;3556453;Vargem Grande Paulista;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;53613;R$ 2.361.929.523;258.0
634;3556503;Várzea Paulista;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;121482;R$ 3.139.193.582;450.0
635;3556602;Vera Cruz;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;10506;R$ 200.804.699;23.0
636;3556701;Vinhedo;Região Administrativa de Campinas;Região Metropolitana de Campinas;78440;R$ 10.454.486.763;266.0
637;3556800;Viradouro;Região Administrativa de Barretos;Outros municípios do Estado de São Paulo;18421;R$ 371.940.300;76.0
638;3556909;Vista Alegre do Alto;Região Administrativa de Barretos;Outros municípios do Estado de São Paulo;8091;R$ 404.202.318;38.0
639;3556958;Vitória Brasil;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;1761;R$ 42.541.640;5.0
640;3557006;Votorantim;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;120662;R$ 3.425.369.517;513.0
641;3557105;Votuporanga;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;92193;R$ 3.374.036.555;404.0
642;3557154;Zacarias;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;2574;R$ 113.037.299;9.0
643;3557204;Chavantes;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;12229;R$ 238.114.855;54.0
644;3557303;Estiva Gerbi;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;11156;R$ 347.056.556;53.0
