;cod_municipio;nome_municipio;regiao_administrativa;regiao_metropolitana;habitantes;PIB;nascidos_vivos
607;3554409;Terra Roxa;Região Administrativa de Barretos;Outros municípios do Estado de São Paulo;4707;R$ 121.606.759;104.0
608;3554508;Tietê;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;22495;R$ 581.093.736;29.0
609;3554607;Timburi;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;9170;R$ 160.431.564;141.0
610;3554656;Torre de Pedra;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;41405;R$ 1.970.726.356;
611;3554706;Torrinha;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;2551;R$ 58.151.580;13.0
612;3554755;Trabiju;Região Administrativa Central;Outros municípios do Estado de São Paulo;2325;R$ 33.931.071;28.0
613;3554805;Tremembé;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;9736;R$ 235.340.938;7.0
614;3554904;Três Fronteiras;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;1716;R$ 41.626.798;148.0
615;3554953;Tuiuti;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;46364;R$ 811.760.179;23.0
616;3555000;Tupã;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;5550;R$ 110.466.180;26.0
617;3555109;Tupi Paulista;Região Administrativa de Presidente Prudente;Outros municípios do Estado de São Paulo;6597;R$ 186.675.772;108.0
618;3555208;Turiúba;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;62720;R$ 2.036.552.634;36.0
619;3555307;Turmalina;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;14877;R$ 313.149.708;4.0
620;3555356;Ubarana;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;1905;R$ 54.958.160;4.0
621;3555406;Ubatuba;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;1789;R$ 67.484.938;20.0
622;3555505;Ubirajara;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;6126;R$ 402.170.434;441.0
623;3555604;Uchoa;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;89782;R$ 2.397.632.313;31.0
624;3555703;União Paulista;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;4684;R$ 116.223.223;30.0
625;3555802;Urânia;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;9689;R$ 351.309.281;10.0
626;3555901;Uru;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;1751;R$ 50.725.149;23.0
627;3556008;Urupês;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;8584;R$ 246.761.927;4.0
628;3556107;Valentim Gentil;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;1203;R$ 44.852.788;46.0
629;3556206;Valinhos;Região Administrativa de Campinas;Região Metropolitana de Campinas;13181;R$ 462.792.470;59.0
630;3556305;Valparaíso;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;12897;R$ 397.263.695;384.0
