,nome_municipio_destino,lon_destino,lat_destino,origem,destino,total_casamentos,ano,lon_origem,lat_origem
54,Cunha,-44.942009032125185,-23.052815011104865,3550308,3513603,1,2021,-46.64801282472266,-23.649919671153047
55,Descalvado,-47.654614446602125,-21.881177800767677,3550308,3513702,1,2021,-46.64801282472266,-23.649919671153047
56,Diadema,-46.61142720184843,-23.69721190580781,3550308,3513801,349,2021,-46.64801282472266,-23.649919671153047
57,Eldorado,-48.2335507767673,-24.494934078377618,3550308,3514809,1,2021,-46.64801282472266,-23.649919671153047
58,Elias Fausto,-47.370657743456654,-23.07063383664572,3550308,3514908,2,2021,-46.64801282472266,-23.649919671153047
59,Embu das Artes,-46.851514474237796,-23.65133405703435,3550308,3515004,72,2021,-46.64801282472266,-23.649919671153047
60,Embu-Guaçu,-46.830646567677206,-23.85428993443685,3550308,3515103,15,2021,-46.64801282472266,-23.649919671153047
61,Engenheiro Coelho,-47.17479793787938,-22.48709444100481,3550308,3515152,1,2021,-46.64801282472266,-23.649919671153047
62,Fernandópolis,-50.28302709794785,-20.27172082201736,3550308,3515509,1,2021,-46.64801282472266,-23.649919671153047
63,Ferraz de Vasconcelos,-46.373925169325936,-23.56103194417209,3550308,3515707,151,2021,-46.64801282472266,-23.649919671153047
64,Flórida Paulista,-51.17062632762573,-21.53991358014612,3550308,3516002,1,2021,-46.64801282472266,-23.649919671153047
65,Franca,-47.381096769743706,-20.555204779166154,3550308,3516200,2,2021,-46.64801282472266,-23.649919671153047
66,Francisco Morato,-46.723508549250326,-23.273710051410042,3550308,3516309,31,2021,-46.64801282472266,-23.649919671153047
67,Franco da Rocha,-46.73575747446041,-23.314176430155683,3550308,3516408,30,2021,-46.64801282472266,-23.649919671153047
68,Gália,-49.5777341656619,-22.320474252371067,3550308,3516606,1,2021,-46.64801282472266,-23.649919671153047
69,Guararema,-46.05858902782177,-23.427556081855016,3550308,3518305,2,2021,-46.64801282472266,-23.649919671153047
70,Guaratinguetá,-45.23295198574329,-22.79344881621547,3550308,3518404,1,2021,-46.64801282472266,-23.649919671153047
71,Guareí,-48.21914445942755,-23.370483593474166,3550308,3518503,1,2021,-46.64801282472266,-23.649919671153047
72,Guarujá,-46.23519806791123,-23.951243231174114,3550308,3518701,5,2021,-46.64801282472266,-23.649919671153047
73,Guarulhos,-46.45485485831944,-23.40268814883486,3550308,3518800,502,2021,-46.64801282472266,-23.649919671153047
74,Holambra,-47.06502828184245,-22.63029240507802,3550308,3519055,1,2021,-46.64801282472266,-23.649919671153047
75,Hortolândia,-47.20772231112622,-22.878425946002945,3550308,3519071,4,2021,-46.64801282472266,-23.649919671153047
76,Ibirá,-49.22036198410682,-21.074707312678015,3550308,3519402,1,2021,-46.64801282472266,-23.649919671153047
77,Ibitinga,-48.84788260182863,-21.792932507452804,3550308,3519600,2,2021,-46.64801282472266,-23.649919671153047
78,Ibiúna,-47.21521653223562,-23.80232039840751,3550308,3519709,4,2021,-46.64801282472266,-23.649919671153047
79,Igaraçu do Tietê,-48.574555620181656,-22.541739001361734,3550308,3520004,1,2021,-46.64801282472266,-23.649919671153047
80,Igaratá,-46.15034421691709,-23.134811773067273,3550308,3520202,1,2021,-46.64801282472266,-23.649919671153047
81,Ilha Comprida,-47.715255833873634,-24.85903345701928,3550308,3520426,1,2021,-46.64801282472266,-23.649919671153047
82,Indaiatuba,-47.20251172608479,-23.106060008772392,3550308,3520509,18,2021,-46.64801282472266,-23.649919671153047
83,Irapuru,-51.34645509388393,-21.484102975286003,3550308,3521606,1,2021,-46.64801282472266,-23.649919671153047
84,Itanhaém,-46.83450894278052,-24.092273913254438,3550308,3522109,5,2021,-46.64801282472266,-23.649919671153047
85,Itapecerica da Serra,-46.8588317970347,-23.737202164787504,3550308,3522208,51,2021,-46.64801282472266,-23.649919671153047
86,Itapetininga,-48.1232753187511,-23.6454678781323,3550308,3522307,3,2021,-46.64801282472266,-23.649919671153047
87,Itapeva,-48.87174254103032,-23.913927286401904,3550308,3522406,2,2021,-46.64801282472266,-23.649919671153047
88,Itapevi,-46.96766672177536,-23.5509468526766,3550308,3522505,14,2021,-46.64801282472266,-23.649919671153047
89,Itapira,-46.77209229557334,-22.43194156769617,3550308,3522604,1,2021,-46.64801282472266,-23.649919671153047
90,Itapuí,-48.70145166050268,-22.250821080240172,3550308,3522901,1,2021,-46.64801282472266,-23.649919671153047
91,Itaquaquecetuba,-46.33387948432194,-23.46146331282999,3550308,3523107,98,2021,-46.64801282472266,-23.649919671153047
92,Itatiba,-46.81430425681162,-23.006702173067453,3550308,3523404,6,2021,-46.64801282472266,-23.649919671153047
93,Itu,-47.28463985699062,-23.30713102042866,3550308,3523909,12,2021,-46.64801282472266,-23.649919671153047
94,Itupeva,-47.06838454449151,-23.146488435623322,3550308,3524006,2,2021,-46.64801282472266,-23.649919671153047
95,Jaboticabal,-48.287942902926176,-21.218318501135016,3550308,3524303,1,2021,-46.64801282472266,-23.649919671153047
96,Jacareí,-45.99053343777902,-23.29887503807916,3550308,3524402,11,2021,-46.64801282472266,-23.649919671153047
97,Jambeiro,-45.71058365786045,-23.27928674434112,3550308,3524907,1,2021,-46.64801282472266,-23.649919671153047
98,Jandira,-46.89970648410938,-23.544141946950987,3550308,3525003,23,2021,-46.64801282472266,-23.649919671153047
99,Jarinu,-46.72130805852615,-23.111962424426956,3550308,3525201,1,2021,-46.64801282472266,-23.649919671153047
100,José Bonifácio,-49.779294634374,-21.0893764977617,3550308,3525706,1,2021,-46.64801282472266,-23.649919671153047
101,Jundiaí,-46.91300651671142,-23.194589028833196,3550308,3525904,23,2021,-46.64801282472266,-23.649919671153047
102,Junqueirópolis,-51.435022552643915,-21.448802878557636,3550308,3526001,1,2021,-46.64801282472266,-23.649919671153047
103,Juquitiba,-47.02464788127104,-23.95519900163791,3550308,3526209,2,2021,-46.64801282472266,-23.649919671153047
104,Lagoinha,-45.20678548586196,-23.085788601988213,3550308,3526308,1,2021,-46.64801282472266,-23.649919671153047
105,Laranjal Paulista,-47.865679241783646,-23.01215087862442,3550308,3526407,1,2021,-46.64801282472266,-23.649919671153047
106,Lavínia,-51.03251976095301,-21.150773201912706,3550308,3526506,4,2021,-46.64801282472266,-23.649919671153047
107,Lençóis Paulista,-48.825023944268715,-22.67607338095573,3550308,3526803,2,2021,-46.64801282472266,-23.649919671153047
108,Limeira,-47.3636921449579,-22.598501577790163,3550308,3526902,5,2021,-46.64801282472266,-23.649919671153047
109,Lins,-49.682853437967395,-21.649759805520585,3550308,3527108,3,2021,-46.64801282472266,-23.649919671153047
110,Lorena,-45.060045365475126,-22.79394772794464,3550308,3527207,2,2021,-46.64801282472266,-23.649919671153047
111,Louveira,-46.93762722146394,-23.08404142674835,3550308,3527306,3,2021,-46.64801282472266,-23.649919671153047
112,Lucélia,-50.99160137386296,-21.644091461865514,3550308,3527405,1,2021,-46.64801282472266,-23.649919671153047
113,Mairinque,-47.22928945504809,-23.507939145234847,3550308,3528403,3,2021,-46.64801282472266,-23.649919671153047
114,Mairiporã,-46.56126590182175,-23.317269089058623,3550308,3528502,22,2021,-46.64801282472266,-23.649919671153047
115,Marília,-49.98303233208706,-22.17767597423205,3550308,3529005,1,2021,-46.64801282472266,-23.649919671153047
116,Matão,-48.43015251082756,-21.6101213756278,3550308,3529302,3,2021,-46.64801282472266,-23.649919671153047
117,Mauá,-46.446391534335675,-23.66616212883741,3550308,3529401,101,2021,-46.64801282472266,-23.649919671153047
118,Mirandópolis,-51.13040319825559,-21.081029807852474,3550308,3530102,9,2021,-46.64801282472266,-23.649919671153047
119,Mirassol,-49.50425068713981,-20.827659716343575,3550308,3530300,1,2021,-46.64801282472266,-23.649919671153047
120,Mococa,-47.032998166042674,-21.449469000864838,3550308,3530508,2,2021,-46.64801282472266,-23.649919671153047
121,Mogi das Cruzes,-46.18606238653124,-23.569509580911497,3550308,3530607,42,2021,-46.64801282472266,-23.649919671153047
122,Mogi Guaçu,-47.029031813373386,-22.23208372341347,3550308,3530706,2,2021,-46.64801282472266,-23.649919671153047
123,Mogi Mirim,-46.988405720300605,-22.451331778884636,3550308,3530805,4,2021,-46.64801282472266,-23.649919671153047
124,Mongaguá,-46.66806170203251,-24.07016122575776,3550308,3531100,2,2021,-46.64801282472266,-23.649919671153047
125,Monte Alegre do Sul,-46.66766289817024,-22.7042962801302,3550308,3531209,1,2021,-46.64801282472266,-23.649919671153047
126,Monte Aprazível,-49.76585748806462,-20.737463773125754,3550308,3531407,1,2021,-46.64801282472266,-23.649919671153047
127,Monte Mor,-47.307339127765495,-22.95319288945027,3550308,3531803,3,2021,-46.64801282472266,-23.649919671153047
128,Nazaré Paulista,-46.36646792256498,-23.191422113349862,3550308,3532405,1,2021,-46.64801282472266,-23.649919671153047
129,Neves Paulista,-49.646494995422565,-20.87045531436486,3550308,3532504,1,2021,-46.64801282472266,-23.649919671153047
130,Nova Campina,-48.972893450545044,-24.19062885364015,3550308,3532827,1,2021,-46.64801282472266,-23.649919671153047
131,Nova Odessa,-47.285152679568455,-22.784113914179258,3550308,3533403,2,2021,-46.64801282472266,-23.649919671153047
132,Olímpia,-48.959615564803954,-20.705229496602875,3550308,3533908,1,2021,-46.64801282472266,-23.649919671153047
133,Osasco,-46.78926510334066,-23.52874284154623,3550308,3534401,193,2021,-46.64801282472266,-23.649919671153047
134,Ourinhos,-49.85242777457503,-22.952675873586458,3550308,3534708,1,2021,-46.64801282472266,-23.649919671153047
135,Paraguaçu Paulista,-50.626584542102314,-22.459106419881294,3550308,3535507,1,2021,-46.64801282472266,-23.649919671153047
136,Paranapanema,-48.795273677493505,-23.43844322469564,3550308,3535804,1,2021,-46.64801282472266,-23.649919671153047
137,Paranapuã,-50.59404625661408,-20.06376836047119,3550308,3535903,1,2021,-46.64801282472266,-23.649919671153047
138,Pariquera-Açu,-47.8500802446521,-24.678251682182182,3550308,3536208,1,2021,-46.64801282472266,-23.649919671153047
139,Paulínia,-47.14506898816476,-22.748364016180314,3550308,3536505,2,2021,-46.64801282472266,-23.649919671153047
140,Pedra Bela,-46.44184898527019,-22.775759206182705,3550308,3536802,1,2021,-46.64801282472266,-23.649919671153047
141,Pereira Barreto,-51.10661210188189,-20.677661583469078,3550308,3537404,1,2021,-46.64801282472266,-23.649919671153047
142,Peruíbe,-47.012975331132935,-24.279281712197154,3550308,3537602,5,2021,-46.64801282472266,-23.649919671153047
143,Pindamonhangaba,-45.459287276804254,-22.879987917011256,3550308,3538006,4,2021,-46.64801282472266,-23.649919671153047
144,Pinhalzinho,-46.573425764426,-22.77868536767502,3550308,3538204,1,2021,-46.64801282472266,-23.649919671153047
145,Piracaia,-46.30225394654861,-23.046884977304934,3550308,3538600,4,2021,-46.64801282472266,-23.649919671153047
146,Piracicaba,-47.78399522152702,-22.726502191189148,3550308,3538709,4,2021,-46.64801282472266,-23.649919671153047
147,Piraju,-49.3661158782755,-23.186912008451042,3550308,3538808,1,2021,-46.64801282472266,-23.649919671153047
148,Pirajuí,-49.413519222755326,-21.95760727284818,3550308,3538907,1,2021,-46.64801282472266,-23.649919671153047
149,Poá,-46.34678311181186,-23.53047518529059,3550308,3539806,40,2021,-46.64801282472266,-23.649919671153047
150,Pompéia,-50.187694052096546,-22.029129344063733,3550308,3540002,1,2021,-46.64801282472266,-23.649919671153047
151,Pontal,-48.06442359444822,-20.98456640373162,3550308,3540200,1,2021,-46.64801282472266,-23.649919671153047
152,Porangaba,-48.11735551918577,-23.173847846510952,3550308,3540507,1,2021,-46.64801282472266,-23.649919671153047
153,Porto Feliz,-47.51692427556794,-23.230301114958326,3550308,3540606,10,2021,-46.64801282472266,-23.649919671153047
154,Potim,-45.30316179444916,-22.8252956697621,3550308,3540754,1,2021,-46.64801282472266,-23.649919671153047
155,Praia Grande,-46.52271413911398,-24.01560235889938,3550308,3541000,15,2021,-46.64801282472266,-23.649919671153047
156,Presidente Bernardes,-51.62019938748173,-22.10721432487034,3550308,3541208,1,2021,-46.64801282472266,-23.649919671153047
157,Presidente Venceslau,-51.83827095933656,-21.79297171564389,3550308,3541505,1,2021,-46.64801282472266,-23.649919671153047
158,Registro,-47.82073114177516,-24.50400170890415,3550308,3542602,3,2021,-46.64801282472266,-23.649919671153047
159,Ribeirão Pires,-46.40279425362041,-23.701076237271483,3550308,3543303,7,2021,-46.64801282472266,-23.649919671153047
160,Ribeirão Preto,-47.82128217320043,-21.210824899557203,3550308,3543402,4,2021,-46.64801282472266,-23.649919671153047
161,Rio Claro,-47.579880078391895,-22.37389451658479,3550308,3543907,4,2021,-46.64801282472266,-23.649919671153047
162,Rio Grande da Serra,-46.37945303882864,-23.737858846926013,3550308,3544103,6,2021,-46.64801282472266,-23.649919671153047
163,Saltinho,-47.73182378161825,-22.8712126490687,3550308,3545159,1,2021,-46.64801282472266,-23.649919671153047
164,Salto,-47.30260924072443,-23.180473107377306,3550308,3545209,2,2021,-46.64801282472266,-23.649919671153047
165,Salto de Pirapora,-47.58063731946571,-23.652764308346725,3550308,3545308,1,2021,-46.64801282472266,-23.649919671153047
166,Santa Adélia,-48.81902396597912,-21.31778076593503,3550308,3545605,1,2021,-46.64801282472266,-23.649919671153047
167,Santa Bárbara d'Oeste,-47.42807539061201,-22.80061878511495,3550308,3545803,3,2021,-46.64801282472266,-23.649919671153047
168,Santa Branca,-45.863290930734465,-23.426394341144878,3550308,3546009,1,2021,-46.64801282472266,-23.649919671153047
169,Santa Cruz do Rio Pardo,-49.56892730761945,-22.809271867553743,3550308,3546405,1,2021,-46.64801282472266,-23.649919671153047
170,Santa Gertrudes,-47.521335202791775,-22.475087128348903,3550308,3546702,1,2021,-46.64801282472266,-23.649919671153047
171,Santana de Parnaíba,-46.91681478593212,-23.449446793983224,3550308,3547304,15,2021,-46.64801282472266,-23.649919671153047
172,Santa Rosa de Viterbo,-47.36621224369772,-21.503766156146582,3550308,3547601,1,2021,-46.64801282472266,-23.649919671153047
173,Santo André,-46.44164217006808,-23.72795382422004,3550308,3547809,207,2021,-46.64801282472266,-23.649919671153047
174,Santos,-46.2915133526949,-23.86901996578977,3550308,3548500,15,2021,-46.64801282472266,-23.649919671153047
175,São Bernardo do Campo,-46.55079581063673,-23.81295994991047,3550308,3548708,215,2021,-46.64801282472266,-23.649919671153047
176,São Caetano do Sul,-46.566062574956604,-23.62613982566959,3550308,3548807,126,2021,-46.64801282472266,-23.649919671153047
177,São Carlos,-47.867149063747405,-21.918766545969394,3550308,3548906,2,2021,-46.64801282472266,-23.649919671153047
178,São José do Rio Preto,-49.358110075161186,-20.797213740334193,3550308,3549805,3,2021,-46.64801282472266,-23.649919671153047
179,São José dos Campos,-45.928597226084406,-23.090495626224854,3550308,3549904,8,2021,-46.64801282472266,-23.649919671153047
180,São Lourenço da Serra,-46.936367352920215,-23.85240775882037,3550308,3549953,3,2021,-46.64801282472266,-23.649919671153047
181,São Luiz do Paraitinga,-45.2538589823091,-23.24009445607354,3550308,3550001,1,2021,-46.64801282472266,-23.649919671153047
182,São Roque,-47.10956687814063,-23.548956816059164,3550308,3550605,3,2021,-46.64801282472266,-23.649919671153047
183,São Sebastião,-45.606802069455895,-23.75440857563968,3550308,3550704,2,2021,-46.64801282472266,-23.649919671153047
184,São Vicente,-46.48824718572379,-23.959250152139916,3550308,3551009,15,2021,-46.64801282472266,-23.649919671153047
185,Serra Azul,-47.54969905002119,-21.316051314811894,3550308,3551405,1,2021,-46.64801282472266,-23.649919671153047
186,Socorro,-46.524397382794646,-22.61115121610246,3550308,3552106,2,2021,-46.64801282472266,-23.649919671153047
187,Sorocaba,-47.446772602607965,-23.46454703274698,3550308,3552205,24,2021,-46.64801282472266,-23.649919671153047
188,Sumaré,-47.262996256409664,-22.84186576064796,3550308,3552403,2,2021,-46.64801282472266,-23.649919671153047
189,Suzano,-46.31044590338795,-23.60836340197222,3550308,3552502,97,2021,-46.64801282472266,-23.649919671153047
190,Taboão da Serra,-46.78636948096587,-23.620534346359868,3550308,3552809,137,2021,-46.64801282472266,-23.649919671153047
191,Tatuí,-47.86951318970413,-23.362074115868936,3550308,3554003,3,2021,-46.64801282472266,-23.649919671153047
192,Taubaté,-45.50242698119035,-23.08711764446082,3550308,3554102,6,2021,-46.64801282472266,-23.649919671153047
193,Tietê,-47.70769590406643,-23.049391709472477,3550308,3554508,2,2021,-46.64801282472266,-23.649919671153047
194,Tremembé,-45.60424874773781,-22.940833864761117,3550308,3554805,3,2021,-46.64801282472266,-23.649919671153047
195,Tupi Paulista,-51.58721279192402,-21.390401466915453,3550308,3555109,1,2021,-46.64801282472266,-23.649919671153047
196,Ubatuba,-45.02394197020979,-23.381153304604023,3550308,3555406,1,2021,-46.64801282472266,-23.649919671153047
197,Valinhos,-46.98127531105423,-22.975115060730896,3550308,3556206,6,2021,-46.64801282472266,-23.649919671153047
198,Valparaíso,-50.92377940497924,-21.203070844434404,3550308,3556305,1,2021,-46.64801282472266,-23.649919671153047
199,Vargem Grande Paulista,-47.01470619446247,-23.62088479786333,3550308,3556453,6,2021,-46.64801282472266,-23.649919671153047
200,Várzea Paulista,-46.82490900472427,-23.2192705197253,3550308,3556503,1,2021,-46.64801282472266,-23.649919671153047
201,Vinhedo,-46.97920936449542,-23.046468671342836,3550308,3556701,7,2021,-46.64801282472266,-23.649919671153047
202,Votorantim,-47.4065319948454,-23.57987752687119,3550308,3557006,5,2021,-46.64801282472266,-23.649919671153047
0,Alumínio,-47.28124940412703,-23.53299410183778,3550308,3501152,1,2020,-46.64801282472266,-23.649919671153047
1,Americana,-47.2891188408492,-22.723246167383053,3550308,3501608,4,2020,-46.64801282472266,-23.649919671153047
2,Amparo,-46.79874372233874,-22.69909727482371,3550308,3501905,2,2020,-46.64801282472266,-23.649919671153047
3,Apiaí,-48.81743047885114,-24.42150155303093,3550308,3502705,1,2020,-46.64801282472266,-23.649919671153047
4,Araçatuba,-50.574693106706164,-21.11370930039772,3550308,3502804,3,2020,-46.64801282472266,-23.649919671153047
5,Araraquara,-48.18137400687025,-21.7916223231822,3550308,3503208,2,2020,-46.64801282472266,-23.649919671153047
6,Artur Nogueira,-47.132152226817894,-22.561197992933376,3550308,3503802,3,2020,-46.64801282472266,-23.649919671153047
7,Arujá,-46.319053390163845,-23.386015536859134,3550308,3503901,14,2020,-46.64801282472266,-23.649919671153047
8,Assis,-50.42075080213832,-22.601730011403326,3550308,3504008,1,2020,-46.64801282472266,-23.649919671153047
9,Atibaia,-46.58677388754247,-23.12324348170109,3550308,3504107,12,2020,-46.64801282472266,-23.649919671153047
10,Avaré,-48.8940478058122,-23.075094130613078,3550308,3504503,1,2020,-46.64801282472266,-23.649919671153047
11,Balbinos,-49.33307976511567,-21.892410463390192,3550308,3504701,1,2020,-46.64801282472266,-23.649919671153047
12,Barueri,-46.87725087744116,-23.505281812372544,3550308,3505708,22,2020,-46.64801282472266,-23.649919671153047
13,Bauru,-49.12616934206203,-22.25395510503004,3550308,3506003,2,2020,-46.64801282472266,-23.649919671153047
14,Bebedouro,-48.51074780137159,-20.940429391672627,3550308,3506102,1,2020,-46.64801282472266,-23.649919671153047
15,Bertioga,-46.029959559546384,-23.759800372255633,3550308,3506359,4,2020,-46.64801282472266,-23.649919671153047
16,Biritiba Mirim,-46.02132752940155,-23.624150185520097,3550308,3506607,2,2020,-46.64801282472266,-23.649919671153047
17,Boa Esperança do Sul,-48.46361929486789,-21.93502729376259,3550308,3506706,1,2020,-46.64801282472266,-23.649919671153047
18,Boituva,-47.67496931948617,-23.28757773768226,3550308,3507001,20,2020,-46.64801282472266,-23.649919671153047
19,Botucatu,-48.468249208927,-22.86344086737739,3550308,3507506,2,2020,-46.64801282472266,-23.649919671153047
20,Bragança Paulista,-46.55595464061905,-22.938347627314194,3550308,3507605,2,2020,-46.64801282472266,-23.649919671153047
21,Cabreúva,-47.08020805346742,-23.30130570141949,3550308,3508405,1,2020,-46.64801282472266,-23.649919671153047
22,Caçapava,-45.713328736350256,-23.10370837737954,3550308,3508504,2,2020,-46.64801282472266,-23.649919671153047
23,Cachoeira Paulista,-44.991708329783386,-22.70235469637352,3550308,3508603,1,2020,-46.64801282472266,-23.649919671153047
24,Caieiras,-46.74523573337271,-23.3759356157253,3550308,3509007,26,2020,-46.64801282472266,-23.649919671153047
25,Cajamar,-46.87203858058,-23.35142567355794,3550308,3509205,7,2020,-46.64801282472266,-23.649919671153047
26,Campina do Monte Alegre,-48.442054875437634,-23.60680672525825,3550308,3509452,1,2020,-46.64801282472266,-23.649919671153047
27,Campinas,-47.04375762624352,-22.883748024009478,3550308,3509502,16,2020,-46.64801282472266,-23.649919671153047
28,Campo Limpo Paulista,-46.760058050276044,-23.21791588473313,3550308,3509601,4,2020,-46.64801282472266,-23.649919671153047
29,Campos do Jordão,-45.53303775304809,-22.70162709863829,3550308,3509700,4,2020,-46.64801282472266,-23.649919671153047
30,Capivari,-47.47801600739543,-22.980707056232802,3550308,3510401,3,2020,-46.64801282472266,-23.649919671153047
31,Caraguatatuba,-45.48803863677825,-23.639671604649138,3550308,3510500,2,2020,-46.64801282472266,-23.649919671153047
32,Carapicuíba,-46.84192820034561,-23.550038720469413,3550308,3510609,24,2020,-46.64801282472266,-23.649919671153047
33,Catanduva,-48.963657788424115,-21.133758349557908,3550308,3511102,2,2020,-46.64801282472266,-23.649919671153047
34,Colômbia,-48.721751874458576,-20.26688116027681,3550308,3512100,1,2020,-46.64801282472266,-23.649919671153047
